Location,Service,Women,Men
Aberdeen Proving Ground,Army,2.8,0.4
Ansbach (GR),Army,6.3,1
Camp Arifjan (KU),Army,3.3,0.6
"Camp Carroll, Waegwan (KS)",Army,5.7,0.8
"Camp Casey, Dongduchon",Army,6.8,1.4
"Camp Humphreys, Pyongteak",Army,5.8,0.9
"Camp Red Cloud, Uijongbu City",Army,5.5,0.9
"Camp Walker, Taegu",Army,5.6,0.8
"Caserma Ederle, Vicenza (IT)",Army,5.4,1.2
Fort Belvoir,Army,3,0.5
Fort Benning,Army,6.3,1.7
Fort Bliss,Army,6.7,1.3
Fort Bragg,Army,6.5,1.2
Fort Campbell,Army,6.7,1.4
Fort Carson,Army,7.2,1.2
Fort Detrick,Army,3.1,0.6
Fort Drum,Army,8.3,1.7
Fort Eustis,Army,5.9,1.1
Fort George G. Meade,Army,3.3,0.6
Fort Gordon,Army,4,0.8
Fort Hood,Army,7,1.4
Fort Huachuca,Army,8.6,1.1
Fort Irwin,Army,6.9,1.4
Fort Jackson,Army,4.4,0.9
Fort Jonathan Wainwright,Army,5.8,1.6
Fort Knox,Army,5.2,1.1
Fort Leavenworth,Army,3.8,0.5
Fort Lee,Army,4.9,0.9
Fort Leonard Wood,Army,5.2,0.9
Fort Lewis,Army,7.2,1.3
Fort Myer,Army,3.7,1.7
Fort Polk,Army,7,1.2
Fort Richardson,Army,5.4,1.3
Fort Riley,Army,7.6,1.5
Fort Rucker,Army,4.7,0.6
Fort Sam Houston,Army,4,0.7
Fort Shafter,Army,2.9,0.5
Fort Sill,Army,5.9,1.1
Fort Stewart,Army,6.5,1.4
Germany,Army,4.7,0.8
"H D Smith Barracks,",Army,4.9,0.8
Hunter Army Airfield,Army,7.1,1.1
Kaiserslautern (GR),Army,5.4,0.9
Lackland AFB,Army,4.5,0.9
Landstuhl Med Ctr (GR),Army,4.4,0.8
MacDill AFB,Army,2.4,0.3
NNMC Bethesda,Army,2.4,0.4
Okinawa (JA),Army,7.7,1.1
Osan AB (KS),Army,8.5,1.4
Postal Area 2,Army,2.4,0.4
Postal Area 3,Army,3.5,0.6
Postal Area 4,Army,2.1,0.4
Postal Area 7,Army,2.5,0.6
Postal Area 9,Army,2.4,0.4
Presidio of Monterey,Army,6.6,0.9
"Rose Barracks, Vilseck (GR)",Army,6.5,1.7
Schofield Barracks,Army,4.8,1.1
Sembach (GR),Army,4.3,0.7
Shaw AFB,Army,2.4,0.4
South Korea,Army,5.2,0.9
Tokyo (JA),Army,3.8,0.6
Tripler Army Med Ctr,Army,3.5,0.6
United States,Army,2.9,0.9
USAG Bavaria Tower Barracks,Army,5.8,1.2
USAG Hohenfels (GR),Army,6.3,1.2
USAG West Point,Army,4.6,0.7
Wiesbaden (GR),Army,4.5,0.7
Yongsan (KS),Army,5,0.8
29 Palms MC Cmbt Ctr,Navy,3.2,1.3
Annapolis NSA (Incl. USNA),Navy,3.1,0.5
Bahrain,Navy,7.1,1.25
Camp Lejeune MCB,Navy,3.8,1.3
Camp Pendleton,Navy,3.6,1.2
Coronado Nav Amphib Base,Navy,4.5,1
Corry Station NTTC,Navy,7.8,1.2
Dam Neck Trng Ctr Atlantic,Navy,4.7,0.7
Fallon NAS,Navy,5.6,0.9
Fleet ASW Trng Ctr Pacific,Navy,4,0.7
Fort George G. Meade,Navy,4.3,0.8
Fort Sam Houston,Navy,5.1,1
Fort Story,Navy,3.7,0.7
Guam,Navy,6.7,1.3
Gulfport NCBC,Navy,5.2,0.9
Jacksonville NAS,Navy,4.6,0.9
Japan,Navy,13.5,3.1
JB Anacostia-Bolling,Navy,3.5,0.5
Kings Bay NAVSUBBASE,Navy,6.6,1.1
Lemoore NAS,Navy,5.7,0.9
Little Creek Nav Amphib Base,Navy,4.4,0.8
Mayport NAVSTA,Navy,5.4,0.9
MCBH Kaneohe Bay,Navy,7.8,1.1
Meridian NAS,Navy,6,1.2
Naples (IT),Navy,5.2,0.8
Naval Hospital Bremerton,Navy,3.6,0.8
Naval Hospital Pensacola,Navy,4.1,0.9
Naval Med Ctr Portsmouth,Navy,3.8,1
Naval Med Ctr San Diego,Navy,3.4,0.9
Naval Station Great Lakes,Navy,6.1,1.2
Naval Station Newport,Navy,3.9,0.7
Naval Station Rota (SP),Navy,4.7,0.9
