Service,Gender,Installation or Command Location,Avg. Pop. (FY14),Sexual Assault Risk,Estimated Sexual Assaults,Installation- Specific Risk
Army,Women,Aberdeen Proving Ground,177,2.80%,5,-0.60%
Army,Women,Ansbach (GR),255,6.30%,16,-1.00%
Army,Women,"Army Depot, Miesau (GR)",115,6.20%,7,0.30%
Army,Women,Camp Arifjan (KU),147,3.30%,5,-0.30%
Army,Women,"Camp Carroll, Waegwan (KS)",163,5.70%,9,-0.30%
Army,Women,"Camp Casey, Dongduchon",555,6.80%,38,-0.30%
Army,Women,"Camp Humphreys, Pyongteak",571,5.80%,33,-1.10%
Army,Women,"Camp Red Cloud, Uijongbu City",218,5.50%,12,-0.20%
Army,Women,"Camp Walker, Taegu",241,5.60%,14,-0.40%
Army,Women,"Caserma Ederle, Vicenza (IT)",320,5.40%,17,-0.50%
Army,Women,Fort Belvoir,783,3.00%,23,-0.80%
Army,Women,Fort Benning,1376,6.30%,87,0.90%
Army,Women,Fort Bliss,3655,6.70%,246,0.50%
Army,Women,Fort Bragg,5552,6.50%,361,0.80%
Army,Women,Fort Campbell,3176,6.70%,211,0.50%
Army,Women,Fort Carson,2880,7.20%,207,0.60%
Army,Women,Fort Detrick,193,3.10%,6,-0.60%
Army,Women,Fort Drum,1664,8.30%,137,1.80%
Army,Women,Fort Eustis,885,5.90%,53,0.00%
Army,Women,Fort George G. Meade,724,3.30%,24,-1.90%
Army,Women,Fort Gordon,1678,4.00%,67,-1.50%
Army,Women,Fort Hood,5910,7.00%,412,0.70%
Army,Women,Fort Huachuca,698,8.60%,60,0.10%
Army,Women,Fort Irwin,509,6.90%,35,1.30%
Army,Women,Fort Jackson,2046,4.40%,90,-1.40%
Army,Women,Fort Jonathan Wainwright,492,5.80%,28,0.00%
Army,Women,Fort Knox,934,5.20%,48,0.20%
Army,Women,Fort Leavenworth,483,3.80%,18,-0.20%
Army,Women,Fort Lee,1495,4.90%,74,-1.00%
Army,Women,Fort Leonard Wood,1572,5.20%,82,-1.20%
Army,Women,Fort Lewis,3875,7.20%,278,1.40%
Army,Women,Fort Myer,183,3.70%,7,-0.80%
Army,Women,Fort Polk,976,7.00%,68,0.50%
Army,Women,Fort Richardson,621,5.40%,34,-0.70%
Army,Women,Fort Riley,2010,7.60%,153,1.00%
Army,Women,Fort Rucker,407,4.70%,19,-0.50%
Army,Women,Fort Sam Houston,2333,4.00%,94,-0.60%
Army,Women,Fort Shafter,526,2.90%,15,-1.20%
Army,Women,Fort Sill,1581,5.90%,93,-0.80%
Army,Women,Fort Stewart,2491,6.50%,161,0.30%
Army,Women,Germany,144,4.70%,7,-1.30%
Army,Women,"H D Smith Barracks,",314,4.90%,16,-1.40%
Army,Women,Hunter Army Airfield,557,7.10%,39,0.60%
Army,Women,Kaiserslautern (GR),427,5.40%,23,-0.50%
Army,Women,Lackland AFB,102,4.50%,5,-1.60%
Army,Women,Landstuhl Med Ctr (GR),322,4.40%,14,-0.40%
Army,Women,MacDill AFB,142,2.40%,3,-1.10%
Army,Women,NNMC Bethesda,525,2.40%,12,-0.90%
Army,Women,Okinawa (JA),127,7.70%,10,1.30%
Army,Women,Osan AB (KS),110,8.50%,9,1.00%
Army,Women,Postal Area 2,504,2.40%,12,-0.80%
Army,Women,Postal Area 3,234,3.50%,8,-0.70%
Army,Women,Postal Area 4,129,2.10%,3,-0.60%
Army,Women,Postal Area 7,131,2.50%,3,-0.90%
Army,Women,Postal Area 9,149,2.40%,4,-0.90%
Army,Women,Presidio of Monterey,386,6.60%,25,-2.10%
Army,Women,"Rose Barracks, Vilseck (GR)",441,6.50%,29,-0.40%
Army,Women,Schofield Barracks,2105,4.80%,102,-1.50%
Army,Women,Sembach (GR),153,4.30%,7,-0.70%
Army,Women,Shaw AFB,232,2.40%,6,-1.00%
Army,Women,South Korea,532,5.20%,27,-0.30%
Army,Women,Tokyo (JA),122,3.80%,5,-1.00%
Army,Women,Tripler Army Med Ctr,679,3.50%,24,-0.10%
Army,Women,United States,1157,2.90%,33,-0.50%
Army,Women,USAG Bavaria Tower Barracks,269,5.80%,16,-0.60%
Army,Women,USAG Hohenfels (GR),114,6.30%,7,-0.40%
Army,Women,USAG West Point,255,4.60%,12,0.00%
Army,Women,Wiesbaden (GR),432,4.50%,19,-1.00%
Army,Women,Yongsan (KS),819,5.00%,41,-0.70%
Army,Men,Aberdeen Proving Ground,706,0.40%,3,0.00%
Army,Men,Ansbach (GR),1564,1.00%,16,0.00%
Army,Men,Camp Arifjan (KU),644,0.60%,4,0.00%
Army,Men,"Camp Carroll, Waegwan (KS)",595,0.80%,5,0.00%
Army,Men,"Camp Casey, Dongduchon",4251,1.40%,58,0.00%
Army,Men,"Camp Humphreys, Pyongteak",3143,0.90%,29,-0.10%
Army,Men,"Camp Red Cloud, Uijongbu City",1341,0.90%,12,0.00%
Army,Men,"Camp Walker, Taegu",763,0.80%,6,0.00%
Army,Men,Carlisle Barracks,427,0.30%,1,0.00%
Army,Men,"Caserma Ederle, Vicenza (IT)",2504,1.20%,30,0.00%
Army,Men,Eglin AFB,1895,0.70%,13,-0.20%
Army,Men,Fort Belvoir,2698,0.50%,14,-0.10%
Army,Men,Fort Benning,18869,1.70%,314,0.10%
Army,Men,Fort Bliss,22745,1.30%,292,0.00%
Army,Men,Fort Bragg,41224,1.20%,476,0.00%
Army,Men,Fort Campbell,27126,1.40%,367,0.00%
Army,Men,Fort Carson,22938,1.20%,268,-0.10%
Army,Men,Fort Detrick,691,0.60%,4,-0.10%
Army,Men,Fort Dix,354,0.40%,1,-0.10%
Army,Men,Fort Drum,15266,1.70%,257,0.30%
Army,Men,Fort Eustis,4220,1.10%,47,0.00%
Army,Men,Fort George G. Meade,2813,0.60%,16,-0.10%
Army,Men,Fort Gordon,6611,0.80%,53,-0.20%
Army,Men,Fort Hood,33775,1.40%,473,0.10%
Army,Men,Fort Huachuca,3399,1.10%,38,0.00%
Army,Men,Fort Irwin,3335,1.40%,45,0.20%
Army,Men,Fort Jackson,5599,0.90%,53,-0.20%
Army,Men,Fort Jonathan Wainwright,5331,1.60%,84,0.00%
Army,Men,Fort Knox,5626,1.10%,64,0.10%
Army,Men,Fort Leavenworth,3030,0.50%,17,-0.10%
Army,Men,Fort Lee,5076,0.90%,44,-0.20%
Army,Men,Fort Leonard Wood,7454,0.90%,68,-0.20%
Army,Men,Fort Leslie J Mcnair,393,0.30%,1,0.00%
